Title,IMDb Rating,Your Rating,Year,Metascore,RT Audience,RT Critics
Hable con ella,7.9,9,2002,86,93,91
Chef,7.3,10,2014,68,85,87
I Origins,7.4,9,2014,57,69,53
The Butterfly Effect,7.6,8,2004,30,81,33
Irréversible,7.4,8,2002,51,80,57
John Wick,7.4,6,2014,68,81,86
Ad Astra,6.5,6,2019,80,40,83
Zootopia,8,9,2016,78,92,98
Harry Potter and the Chamber of Secrets,7.4,8,2002,63,80,82
The Theory of Everything,7.7,8,2014,72,84,80
Relatos salvajes,8.1,10,2014,77,92,94
Harry Potter and the Prisoner of Azkaban,7.9,9,2004,82,86,90
Creed,7.6,8,2015,82,89,95
Spy,7,8,2015,75,78,95
Love Actually,7.6,9,2003,55,72,64
Trainwreck,6.2,5,2015,75,66,84
Spider-Man 2,7.3,6,2004,83,82,93
Pride,7.8,9,2014,55,89,91
Room,8.1,9,2015,64,93,93
The Incredibles,8,8,2004,90,75,97
Fantastic Beasts and Where to Find Them,7.3,6,2016,66,79,74
Kingdom of Heaven,7.2,8,2005,63,72,39
A Beautiful Day in the Neighborhood,7.3,7,2019,80,92,95
It Follows,6.8,6,2014,83,66,95
The Last Samurai,7.7,9,2003,55,83,66
Pirates of the Caribbean: The Curse of the Black Pearl,8,8,2003,63,86,79
Sully,7.4,8,2016,74,84,85
Mystic River,7.9,7,2003,84,89,88
The Whole Ten Yards,5.5,7,2004,24,40,4
Little Women,7.8,9,2019,87,92,95
Harry Potter and the Goblet of Fire,7.7,7,2005,81,74,88
Logan,8.1,7,2017,77,90,93
The Notebook,7.8,7,2004,53,85,53
Troy,7.3,8,2004,56,73,54
Lost in Translation,7.7,8,2003,89,85,95
Eternal Sunshine of the Spotless Mind,8.3,8,2004,89,94,92
Mou gaan dou,8,6,2002,75,59,88
The Aviator,7.5,6,2004,77,79,86
Sicario,7.6,6,2015,82,85,92
Samba,6.7,8,2014,53,85,92
Monster,7.3,7,2003,74,81,81
What We Do in the Shadows,7.7,9,2014,76,86,96
De grønne slagtere,7.3,7,2003,54,83,63
"I, Robot",7.1,9,2004,59,70,56
Casablanca,8.5,7,1942,100,95,99
The Hateful Eight,7.8,8,2015,68,76,74
The Lobster,7.2,7,2015,82,65,87
The Walk,7.3,8,2015,70,77,83
Captain America: Civil War,7.8,8,2016,75,89,90
Thor: Ragnarok,7.9,8,2017,74,87,93
Ray,7.7,8,2004,73,87,79
Madagascar,6.9,7,2005,57,66,54
The Disaster Artist,7.4,9,2017,76,85,91
Cinderella Man,8,8,2005,69,91,80
The Night Before,6.4,6,2015,58,61,69
American Made,7.2,7,2017,65,78,86
Sing Street,7.9,8,2016,79,92,95
Captain Fantastic,7.9,8,2016,72,85,82
EuroTrip,6.6,7,2004,45,75,47
Legend,6.9,5,2015,55,,
Anchorman: The Legend of Ron Burgundy,7.2,8,2004,63,86,66
The Secret Life of Walter Mitty,7.3,6,2013,54,71,51
Incredibles 2,7.6,9,2018,80,84,93
Inglourious Basterds,8.3,10,2009,69,88,89
Ne le dis à personne,7.5,8,2006,82,87,93
The Terminal,7.4,9,2004,55,74,61
Allied,7.1,7,2016,60,64,61
Jeux d'enfants,7.6,8,2003,45,89,44
Oldeuboi,8.4,8,2003,77,94,81
Revolver,6.4,6,2005,25,56,15
Shaun of the Dead,7.9,9,2004,76,93,92
Tenacious D in The Pick of Destiny,6.8,8,2006,55,67,52
The Martian,8,8,2015,80,91,91
The Squid and the Whale,7.3,8,2005,82,81,92
Charlie and the Chocolate Factory,6.6,7,2005,72,51,83
Bridge of Spies,7.6,7,2015,81,87,90
Iron Man,7.9,7,2008,79,91,94
Batman Begins,8.2,7,2005,70,94,84
Kiss Kiss Bang Bang,7.5,8,2005,72,87,86
Harry Potter and the Order of the Phoenix,7.5,8,2007,71,81,77
The Interpreter,6.4,6,2005,62,54,57
